"Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG"
"Karlo Matković","MEG","27","22.1","11.6","4.9","8.0",".609","0.0","0.1",".000","1.9","2.6",".704","2.7","3.5","6.2","1.0","0.5","1.2"
"Trevor Keels","DUKE","36","30.2","11.5","4.1","9.8",".419","1.5","4.8",".312","1.8","2.7",".670","0.8","2.6","3.4","2.7","1.2","0.1"
"Walker Kessler","AU","34","25.5","11.4","4.8","7.9",".608","0.3","1.5",".200","1.6","2.6",".596","2.6","5.4","8.1","0.9","1.1","4.6"
"Ismael Kamagate","PAR","34","27.1","11.3","4.4","6.8",".643","0.0","0.0",".000","2.6","3.9",".654","2.4","3.9","6.3","0.7","0.7","1.6"
"Mark Williams","DUKE","39","23.5","11.2","4.9","6.8",".721","0.0","0.0",".000","1.4","2.0",".727","2.6","4.8","7.4","0.9","0.5","2.8"
"Jaylin Williams","U of A","37","31.7","10.9","3.8","8.3",".461","0.5","1.9",".239","2.8","3.8",".729","1.5","8.3","9.8","2.6","1.3","1.1"
"Gui Santos","MIN","46","25.8","10.5","3.7","8.2",".450","1.0","3.1",".326","2.1","2.9",".729","1.1","3.9","5.0","2.2","0.8","0.8"
"Yoan Makoundou","CHO","36","23.0","10.4","4.1","7.5",".542","0.7","1.8",".369","1.6","2.1",".760","1.6","3.7","5.3","0.8","0.6","1.1"
"AJ Griffin","DUKE","39","23.9","10.4","3.7","7.6",".493","1.8","4.1",".447","1.1","1.4",".792","0.8","3.2","3.9","1.0","0.5","0.6"
"Devante' Jones","UM","33","28.7","10.3","3.8","8.2",".463","0.8","2.4",".342","1.8","2.3",".792","1.1","3.5","4.5","4.6","0.9","0.1"
"Caleb Houstan","UM","34","31.9","10.1","3.2","8.4",".384","1.8","5.0",".355","1.9","2.4",".783","0.8","3.2","4.0","1.4","0.7","0.2"
